trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,key_resp.started,Fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
90,0,90,0,142.44226266700025,143.42608841699985,143.43200549999983,up,1,0.5669397909996405,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
91,0,91,0,144.01007904200014,144.99298341699978,144.99898637499973,up,1,0.5023504159998993,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
92,0,92,0,145.51351262499975,146.50070125000002,146.50962400000026,up,1,0.4099099160002879,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
93,0,93,0,146.93142154199995,147.91827283400016,147.92615037500036,down,1,0.4882867910000641,None,4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
94,0,94,0,148.42717829200046,149.40973458400003,149.41584287499973,up,0,0.4414414160000888,None,-5,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
95,0,95,0,149.87756858400007,150.85968804200002,150.8770286250001,down,0,0.6688555410000845,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
96,0,96,0,151.54738212499979,152.5349269999997,152.54303804200026,down,1,0.44257824899978004,None,4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
97,0,97,0,152.99314320899975,153.97672925000006,153.98334258399973,up,0,0.5899860829995305,None,1,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
98,0,98,0,154.59358270899975,155.57648970900027,155.58244045900028,down,1,0.44414366599994537,None,2,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
99,0,99,0,156.04260983400036,157.02679799999987,157.03261566699985,up,1,0.6838835829994423,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
100,0,100,0,157.72751637500005,158.70999374999974,158.71605550000004,down,1,0.6246826240003429,None,-5,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
101,0,101,0,159.360180959,160.34397920900028,160.34994254200046,down,1,0.742313166000713,None,4,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
102,0,102,0,161.11090345899993,162.09386945900042,162.0998541250001,down,1,0.42915099900073983,None,1,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
103,0,103,0,162.54325241700008,163.52709279200008,163.53304870900047,up,1,0.5010003329998653,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
104,0,104,0,164.04889474999982,165.03581304199997,165.04359883400048,down,1,0.5449231660004443,None,-5,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
105,0,105,0,165.59804104199975,166.58419312499973,166.59419362500012,up,1,0.5670050409999021,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
106,0,106,0,167.1746169170001,168.1603480419999,168.16639645899977,up,0,0.4631135820000054,None,-2,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
107,0,107,0,168.64389595900047,169.62737187499988,169.63397437500043,up,1,0.7790410409998003,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
108,0,108,0,170.42783466699984,171.4106419589998,171.4167332500001,up,1,0.37500879100025486,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
109,0,109,0,171.81097112499992,172.79394074999982,172.79996208400007,up,1,0.4966201239994916,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
110,0,110,0,173.31094845900043,174.2939233750003,174.29992250000032,up,1,0.4280172910002875,None,0,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
111,0,111,0,174.74476004200005,175.72758816700025,175.7336420419997,up,0,0.990663582999332,None,1,1,001,2023-09-08_18h30.41.203,orient_discrimination,2023.1.3,None,
