66.4904 	EXP 	grating: ori = 0.0
66.4904 	EXP 	Fixation: autoDraw = True
67.4396 	WARNING 	t of last frame was 510.14ms (=1/1)
67.6219 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
67.6295 	EXP 	Fixation: autoDraw = False
67.6295 	EXP 	grating: autoDraw = True
67.9237 	EXP 	grating: autoDraw = False
67.9647 	EXP 	New trial (rep=39, index=0): None
67.9683 	DATA 	Keypress: up
67.9734 	EXP 	Fixation: autoDraw = False
67.9734 	EXP 	grating: autoDraw = False
67.9734 	EXP 	grating: ori = -3.0
67.9734 	EXP 	Fixation: autoDraw = True
68.9566 	EXP 	grating: autoDraw = True
68.9625 	EXP 	Fixation: autoDraw = False
69.2479 	EXP 	New trial (rep=40, index=0): None
69.2514 	DATA 	Keypress: up
69.2567 	EXP 	grating: autoDraw = False
69.2567 	EXP 	Fixation: autoDraw = False
69.2567 	EXP 	grating: autoDraw = False
69.2567 	EXP 	grating: ori = 1.0
69.2567 	EXP 	Fixation: autoDraw = True
70.2397 	EXP 	grating: autoDraw = True
70.2461 	EXP 	Fixation: autoDraw = False
70.5290 	EXP 	grating: autoDraw = False
70.6041 	EXP 	New trial (rep=41, index=0): None
70.6075 	DATA 	Keypress: down
70.6118 	EXP 	Fixation: autoDraw = False
70.6118 	EXP 	grating: autoDraw = False
70.6118 	EXP 	grating: ori = -3.0
70.6118 	EXP 	Fixation: autoDraw = True
71.5986 	EXP 	grating: autoDraw = True
71.6065 	EXP 	Fixation: autoDraw = False
71.8809 	EXP 	New trial (rep=42, index=0): None
71.8845 	DATA 	Keypress: up
71.8895 	EXP 	Fixation: autoDraw = False
71.8895 	EXP 	grating: autoDraw = False
71.8895 	EXP 	grating: ori = 0.0
71.8895 	EXP 	Fixation: autoDraw = True
72.8732 	EXP 	grating: autoDraw = True
72.8791 	EXP 	Fixation: autoDraw = False
73.1643 	EXP 	New trial (rep=43, index=0): None
73.1681 	DATA 	Keypress: up
73.1727 	EXP 	grating: autoDraw = False
73.1727 	EXP 	Fixation: autoDraw = False
73.1727 	EXP 	grating: autoDraw = False
73.1727 	EXP 	grating: ori = -5.0
73.1727 	EXP 	Fixation: autoDraw = True
74.1565 	EXP 	grating: autoDraw = True
74.1623 	EXP 	Fixation: autoDraw = False
74.4464 	EXP 	grating: autoDraw = False
74.8374 	EXP 	New trial (rep=44, index=0): None
74.8408 	DATA 	Keypress: down
74.8452 	EXP 	Fixation: autoDraw = False
74.8452 	EXP 	grating: autoDraw = False
74.8452 	EXP 	grating: ori = 4.0
74.8452 	EXP 	Fixation: autoDraw = True
75.8316 	EXP 	grating: autoDraw = True
75.8400 	EXP 	Fixation: autoDraw = False
76.1297 	EXP 	grating: autoDraw = False
76.2866 	EXP 	New trial (rep=45, index=0): None
76.2902 	DATA 	Keypress: down
76.2944 	EXP 	Fixation: autoDraw = False
76.2944 	EXP 	grating: autoDraw = False
76.2944 	EXP 	grating: ori = 3.0
76.2944 	EXP 	Fixation: autoDraw = True
77.2821 	EXP 	grating: autoDraw = True
77.2900 	EXP 	Fixation: autoDraw = False
77.5792 	EXP 	grating: autoDraw = False
77.6536 	EXP 	New trial (rep=46, index=0): None
77.6571 	DATA 	Keypress: down
77.6614 	EXP 	Fixation: autoDraw = False
77.6614 	EXP 	grating: autoDraw = False
77.6614 	EXP 	grating: ori = 0.0
77.6614 	EXP 	Fixation: autoDraw = True
78.6475 	EXP 	grating: autoDraw = True
78.6573 	EXP 	Fixation: autoDraw = False
78.9408 	EXP 	grating: autoDraw = False
78.9982 	EXP 	New trial (rep=47, index=0): None
79.0018 	DATA 	Keypress: down
79.0070 	EXP 	Fixation: autoDraw = False
79.0070 	EXP 	grating: autoDraw = False
79.0070 	EXP 	grating: ori = 0.0
79.0070 	EXP 	Fixation: autoDraw = True
79.9901 	EXP 	grating: autoDraw = True
79.9960 	EXP 	Fixation: autoDraw = False
80.2795 	EXP 	grating: autoDraw = False
80.2980 	EXP 	New trial (rep=48, index=0): None
80.3015 	DATA 	Keypress: up
80.3067 	EXP 	Fixation: autoDraw = False
80.3067 	EXP 	grating: autoDraw = False
80.3067 	EXP 	grating: ori = 0.0
80.3067 	EXP 	Fixation: autoDraw = True
81.2905 	EXP 	grating: autoDraw = True
81.2964 	EXP 	Fixation: autoDraw = False
81.5797 	EXP 	grating: autoDraw = False
81.7031 	EXP 	New trial (rep=49, index=0): None
81.7068 	DATA 	Keypress: up
81.7114 	EXP 	Fixation: autoDraw = False
81.7114 	EXP 	grating: autoDraw = False
81.7114 	EXP 	grating: ori = -4.0
81.7114 	EXP 	Fixation: autoDraw = True
82.6986 	EXP 	grating: autoDraw = True
82.7069 	EXP 	Fixation: autoDraw = False
82.9972 	EXP 	grating: autoDraw = False
83.0492 	EXP 	New trial (rep=50, index=0): None
83.0529 	DATA 	Keypress: up
83.0582 	EXP 	Fixation: autoDraw = False
83.0582 	EXP 	grating: autoDraw = False
83.0582 	EXP 	grating: ori = 3.0
83.0582 	EXP 	Fixation: autoDraw = True
84.0403 	EXP 	grating: autoDraw = True
84.0572 	EXP 	Fixation: autoDraw = False
84.3303 	EXP 	grating: autoDraw = False
84.3705 	EXP 	New trial (rep=51, index=0): None
84.3740 	DATA 	Keypress: down
84.3783 	EXP 	Fixation: autoDraw = False
84.3783 	EXP 	grating: autoDraw = False
